case_dir,run,model,generation_start,generation_end,duration_seconds,output_file,output_lines,output_characters
Code/Step_3_Case_Languages/CheckerDSL,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:48:40,2026-05-21 18:49:05,24.99,Code\Step_3_Case_Languages\CheckerDSL\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_1.txt,376,13280
Code/Step_3_Case_Languages/CheckerDSL,2,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:49:23,2026-05-21 18:49:38,14.25,Code\Step_3_Case_Languages\CheckerDSL\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_2.txt,268,7402
Code/Step_3_Case_Languages/CheckerDSL,3,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:49:56,2026-05-21 18:50:13,16.72,Code\Step_3_Case_Languages\CheckerDSL\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_3.txt,249,8410
Code/Step_3_Case_Languages/CheckerDSL,4,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:50:33,2026-05-21 18:50:53,20.32,Code\Step_3_Case_Languages\CheckerDSL\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_4.txt,306,10384
Code/Step_3_Case_Languages/CheckerDSL,5,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:51:09,2026-05-21 18:51:22,13.06,Code\Step_3_Case_Languages\CheckerDSL\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_5.txt,214,6401
Code/Step_3_Case_Languages/CheckerDSL,6,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:51:40,2026-05-21 18:51:58,17.55,Code\Step_3_Case_Languages\CheckerDSL\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_6.txt,268,9050
Code/Step_3_Case_Languages/CheckerDSL,7,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:52:17,2026-05-21 18:52:34,16.95,Code\Step_3_Case_Languages\CheckerDSL\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_7.txt,255,7870
Code/Step_3_Case_Languages/CheckerDSL,8,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:52:50,2026-05-21 18:53:12,22.10,Code\Step_3_Case_Languages\CheckerDSL\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_8.txt,330,10623
Code/Step_3_Case_Languages/CheckerDSL,9,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:53:29,2026-05-21 18:53:41,12.18,Code\Step_3_Case_Languages\CheckerDSL\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_9.txt,232,6601
Code/Step_3_Case_Languages/CheckerDSL,10,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:53:58,2026-05-21 18:54:08,10.33,Code\Step_3_Case_Languages\CheckerDSL\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_10.txt,203,5274
