case_dir,run,model,generation_start,generation_end,duration_seconds,output_file,output_lines,output_characters
Code/Step_3_Case_Languages/JSFLibraryGenerator,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:11:02,2026-05-21 19:13:58,175.52,Code\Step_3_Case_Languages\JSFLibraryGenerator\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_1.txt,1860,238317
Code/Step_3_Case_Languages/JSFLibraryGenerator,2,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:14:18,2026-05-21 19:17:17,179.02,Code\Step_3_Case_Languages\JSFLibraryGenerator\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_2.txt,1892,239457
Code/Step_3_Case_Languages/JSFLibraryGenerator,3,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:17:36,2026-05-21 19:20:44,187.84,Code\Step_3_Case_Languages\JSFLibraryGenerator\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_3.txt,2092,246615
Code/Step_3_Case_Languages/JSFLibraryGenerator,4,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:21:06,2026-05-21 19:24:05,178.98,Code\Step_3_Case_Languages\JSFLibraryGenerator\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_4.txt,1998,244089
Code\Step_3_Case_Languages\JSFLibraryGenerator,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:33:56,2026-05-21 19:36:50,173.88,Code\Step_3_Case_Languages\JSFLibraryGenerator\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_5.txt,1892,236993
Code\Step_3_Case_Languages\JSFLibraryGenerator,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:37:16,2026-05-21 19:40:26,189.34,Code\Step_3_Case_Languages\JSFLibraryGenerator\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_6.txt,1976,247406
Code\Step_3_Case_Languages\JSFLibraryGenerator,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:40:53,2026-05-21 19:43:46,173.09,Code\Step_3_Case_Languages\JSFLibraryGenerator\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_7.txt,1925,240448
Code\Step_3_Case_Languages\JSFLibraryGenerator,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:44:12,2026-05-21 19:47:26,194.35,Code\Step_3_Case_Languages\JSFLibraryGenerator\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_8.txt,2083,246966
Code\Step_3_Case_Languages\JSFLibraryGenerator,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:47:53,2026-05-21 19:50:52,178.92,Code\Step_3_Case_Languages\JSFLibraryGenerator\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_9.txt,1980,241524
Code\Step_3_Case_Languages\JSFLibraryGenerator,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:51:21,2026-05-21 19:54:17,176.05,Code\Step_3_Case_Languages\JSFLibraryGenerator\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_10.txt,1900,240404
