case_dir,run,model,generation_start,generation_end,duration_seconds,output_file,output_lines,output_characters
Code/Step_3_Case_Languages/eclipse-typescript-xtext,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:54:24,2026-05-21 18:54:33,9.30,Code\Step_3_Case_Languages\eclipse-typescript-xtext\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_1.txt,81,4959
Code/Step_3_Case_Languages/eclipse-typescript-xtext,2,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:54:47,2026-05-21 18:55:00,13.10,Code\Step_3_Case_Languages\eclipse-typescript-xtext\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_2.txt,112,6952
Code/Step_3_Case_Languages/eclipse-typescript-xtext,3,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:55:15,2026-05-21 18:55:36,20.94,Code\Step_3_Case_Languages\eclipse-typescript-xtext\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_3.txt,270,11361
Code/Step_3_Case_Languages/eclipse-typescript-xtext,4,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:55:53,2026-05-21 18:56:07,14.41,Code\Step_3_Case_Languages\eclipse-typescript-xtext\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_4.txt,173,7954
Code/Step_3_Case_Languages/eclipse-typescript-xtext,5,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:56:22,2026-05-21 18:56:35,12.80,Code\Step_3_Case_Languages\eclipse-typescript-xtext\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_5.txt,109,6637
Code/Step_3_Case_Languages/eclipse-typescript-xtext,6,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:56:48,2026-05-21 18:57:00,11.65,Code\Step_3_Case_Languages\eclipse-typescript-xtext\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_6.txt,98,6607
Code/Step_3_Case_Languages/eclipse-typescript-xtext,7,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:57:12,2026-05-21 18:57:20,7.50,Code\Step_3_Case_Languages\eclipse-typescript-xtext\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_7.txt,60,3428
Code/Step_3_Case_Languages/eclipse-typescript-xtext,8,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:57:33,2026-05-21 18:57:56,22.54,Code\Step_3_Case_Languages\eclipse-typescript-xtext\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_8.txt,332,13781
Code/Step_3_Case_Languages/eclipse-typescript-xtext,9,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:58:11,2026-05-21 18:58:20,8.85,Code\Step_3_Case_Languages\eclipse-typescript-xtext\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_9.txt,57,4436
Code/Step_3_Case_Languages/eclipse-typescript-xtext,10,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:58:35,2026-05-21 18:58:48,13.46,Code\Step_3_Case_Languages\eclipse-typescript-xtext\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_10.txt,132,7410
