case_dir,run,model,generation_start,generation_end,duration_seconds,output_file,output_lines,output_characters
Code/Step_3_Case_Languages/elite-se.xtext.languages.plantuml,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:59:07,2026-05-21 18:59:24,17.33,Code\Step_3_Case_Languages\elite-se.xtext.languages.plantuml\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_1.txt,151,6352
Code/Step_3_Case_Languages/elite-se.xtext.languages.plantuml,2,Qwen/Qwen3-Coder-Next:novita,2026-05-21 18:59:42,2026-05-21 18:59:54,11.45,Code\Step_3_Case_Languages\elite-se.xtext.languages.plantuml\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_2.txt,134,5499
Code/Step_3_Case_Languages/elite-se.xtext.languages.plantuml,3,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:00:13,2026-05-21 19:00:28,14.74,Code\Step_3_Case_Languages\elite-se.xtext.languages.plantuml\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_3.txt,133,7244
Code/Step_3_Case_Languages/elite-se.xtext.languages.plantuml,4,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:00:46,2026-05-21 19:00:57,10.63,Code\Step_3_Case_Languages\elite-se.xtext.languages.plantuml\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_4.txt,111,5590
Code/Step_3_Case_Languages/elite-se.xtext.languages.plantuml,5,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:01:15,2026-05-21 19:01:36,20.48,Code\Step_3_Case_Languages\elite-se.xtext.languages.plantuml\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_5.txt,182,10311
Code/Step_3_Case_Languages/elite-se.xtext.languages.plantuml,6,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:01:53,2026-05-21 19:02:12,19.01,Code\Step_3_Case_Languages\elite-se.xtext.languages.plantuml\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_6.txt,160,9809
Code/Step_3_Case_Languages/elite-se.xtext.languages.plantuml,7,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:02:30,2026-05-21 19:02:43,12.95,Code\Step_3_Case_Languages\elite-se.xtext.languages.plantuml\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_7.txt,111,6280
Code/Step_3_Case_Languages/elite-se.xtext.languages.plantuml,8,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:03:00,2026-05-21 19:03:12,11.75,Code\Step_3_Case_Languages\elite-se.xtext.languages.plantuml\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_8.txt,118,5888
Code/Step_3_Case_Languages/elite-se.xtext.languages.plantuml,9,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:03:29,2026-05-21 19:03:48,18.85,Code\Step_3_Case_Languages\elite-se.xtext.languages.plantuml\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_9.txt,125,9111
Code/Step_3_Case_Languages/elite-se.xtext.languages.plantuml,10,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:04:07,2026-05-21 19:04:22,15.34,Code\Step_3_Case_Languages\elite-se.xtext.languages.plantuml\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_10.txt,172,7524
