case_dir,run,model,generation_start,generation_end,duration_seconds,output_file,output_lines,output_characters
Code/Step_3_Case_Languages/isis-script,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:04:37,2026-05-21 19:04:57,19.54,Code\Step_3_Case_Languages\isis-script\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_1.txt,213,11971
Code/Step_3_Case_Languages/isis-script,2,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:05:14,2026-05-21 19:05:30,15.81,Code\Step_3_Case_Languages\isis-script\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_2.txt,113,9030
Code/Step_3_Case_Languages/isis-script,3,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:05:47,2026-05-21 19:06:03,15.63,Code\Step_3_Case_Languages\isis-script\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_3.txt,165,9145
Code/Step_3_Case_Languages/isis-script,4,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:06:18,2026-05-21 19:06:44,26.81,Code\Step_3_Case_Languages\isis-script\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_4.txt,488,18143
Code/Step_3_Case_Languages/isis-script,5,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:07:02,2026-05-21 19:07:32,29.97,Code\Step_3_Case_Languages\isis-script\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_5.txt,492,20196
Code/Step_3_Case_Languages/isis-script,6,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:07:48,2026-05-21 19:08:07,19.21,Code\Step_3_Case_Languages\isis-script\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_6.txt,262,11112
Code/Step_3_Case_Languages/isis-script,7,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:08:24,2026-05-21 19:08:49,25.57,Code\Step_3_Case_Languages\isis-script\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_7.txt,263,14330
Code/Step_3_Case_Languages/isis-script,8,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:09:02,2026-05-21 19:09:29,26.20,Code\Step_3_Case_Languages\isis-script\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_8.txt,428,15938
Code/Step_3_Case_Languages/isis-script,9,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:09:48,2026-05-21 19:10:11,22.70,Code\Step_3_Case_Languages\isis-script\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_9.txt,266,13887
Code/Step_3_Case_Languages/isis-script,10,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:10:31,2026-05-21 19:10:41,10.23,Code\Step_3_Case_Languages\isis-script\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_10.txt,120,6239
