case_dir,run,model,generation_start,generation_end,duration_seconds,output_file,output_lines,output_characters
Code\Step_3_Case_Languages\majordomo,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:54:37,2026-05-21 19:54:51,13.17,Code\Step_3_Case_Languages\majordomo\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_1.txt,148,7496
Code\Step_3_Case_Languages\majordomo,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:55:10,2026-05-21 19:55:23,12.43,Code\Step_3_Case_Languages\majordomo\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_2.txt,148,7523
Code\Step_3_Case_Languages\majordomo,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:55:45,2026-05-21 19:55:58,12.97,Code\Step_3_Case_Languages\majordomo\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_3.txt,160,7594
Code\Step_3_Case_Languages\majordomo,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:56:17,2026-05-21 19:56:37,20.22,Code\Step_3_Case_Languages\majordomo\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_4.txt,179,9879
Code\Step_3_Case_Languages\majordomo,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:56:59,2026-05-21 19:57:11,11.62,Code\Step_3_Case_Languages\majordomo\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_5.txt,146,6420
Code\Step_3_Case_Languages\majordomo,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:57:34,2026-05-21 19:57:51,17.00,Code\Step_3_Case_Languages\majordomo\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_6.txt,158,7706
Code\Step_3_Case_Languages\majordomo,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:58:12,2026-05-21 19:58:23,11.27,Code\Step_3_Case_Languages\majordomo\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_7.txt,136,6798
Code\Step_3_Case_Languages\majordomo,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:58:41,2026-05-21 19:58:56,14.87,Code\Step_3_Case_Languages\majordomo\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_8.txt,187,8887
Code\Step_3_Case_Languages\majordomo,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:59:12,2026-05-21 19:59:31,19.34,Code\Step_3_Case_Languages\majordomo\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_9.txt,185,10955
Code\Step_3_Case_Languages\majordomo,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 19:59:50,2026-05-21 20:00:02,11.65,Code\Step_3_Case_Languages\majordomo\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_10.txt,141,6320
