case_dir,run,model,generation_start,generation_end,duration_seconds,output_file,output_lines,output_characters
Code\Step_3_Case_Languages\smart-dsl,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:04:30,2026-05-21 20:04:38,8.08,Code\Step_3_Case_Languages\smart-dsl\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_1.txt,126,4924
Code\Step_3_Case_Languages\smart-dsl,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:04:59,2026-05-21 20:05:04,5.71,Code\Step_3_Case_Languages\smart-dsl\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_2.txt,67,3112
Code\Step_3_Case_Languages\smart-dsl,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:05:23,2026-05-21 20:05:30,7.43,Code\Step_3_Case_Languages\smart-dsl\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_3.txt,110,4116
Code\Step_3_Case_Languages\smart-dsl,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:05:47,2026-05-21 20:05:53,6.37,Code\Step_3_Case_Languages\smart-dsl\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_4.txt,104,3802
Code\Step_3_Case_Languages\smart-dsl,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:06:14,2026-05-21 20:06:22,7.08,Code\Step_3_Case_Languages\smart-dsl\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_5.txt,97,3846
Code\Step_3_Case_Languages\smart-dsl,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:06:37,2026-05-21 20:06:46,8.42,Code\Step_3_Case_Languages\smart-dsl\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_6.txt,128,5043
Code\Step_3_Case_Languages\smart-dsl,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:07:04,2026-05-21 20:07:12,7.97,Code\Step_3_Case_Languages\smart-dsl\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_7.txt,122,4345
Code\Step_3_Case_Languages\smart-dsl,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:07:30,2026-05-21 20:07:37,6.71,Code\Step_3_Case_Languages\smart-dsl\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_8.txt,104,3740
Code\Step_3_Case_Languages\smart-dsl,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:07:57,2026-05-21 20:08:03,6.66,Code\Step_3_Case_Languages\smart-dsl\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_9.txt,79,3569
Code\Step_3_Case_Languages\smart-dsl,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:08:23,2026-05-21 20:08:31,8.84,Code\Step_3_Case_Languages\smart-dsl\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_10.txt,86,4343
