case_dir,run,model,generation_start,generation_end,duration_seconds,output_file,output_lines,output_characters
Code\Step_3_Case_Languages\xtext-dnn,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:08:51,2026-05-21 20:09:04,12.99,Code\Step_3_Case_Languages\xtext-dnn\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_1.txt,162,7182
Code\Step_3_Case_Languages\xtext-dnn,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:09:26,2026-05-21 20:09:34,7.91,Code\Step_3_Case_Languages\xtext-dnn\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_2.txt,69,3743
Code\Step_3_Case_Languages\xtext-dnn,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:09:50,2026-05-21 20:09:59,9.34,Code\Step_3_Case_Languages\xtext-dnn\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_3.txt,89,4848
Code\Step_3_Case_Languages\xtext-dnn,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:10:19,2026-05-21 20:10:29,10.18,Code\Step_3_Case_Languages\xtext-dnn\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_4.txt,78,5040
Code\Step_3_Case_Languages\xtext-dnn,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:10:47,2026-05-21 20:10:54,7.02,Code\Step_3_Case_Languages\xtext-dnn\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_5.txt,75,3634
Code\Step_3_Case_Languages\xtext-dnn,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:11:18,2026-05-21 20:11:31,12.75,Code\Step_3_Case_Languages\xtext-dnn\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_6.txt,157,6488
Code\Step_3_Case_Languages\xtext-dnn,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:11:53,2026-05-21 20:12:00,7.47,Code\Step_3_Case_Languages\xtext-dnn\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_7.txt,74,3472
Code\Step_3_Case_Languages\xtext-dnn,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:12:21,2026-05-21 20:12:29,8.60,Code\Step_3_Case_Languages\xtext-dnn\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_8.txt,92,4580
Code\Step_3_Case_Languages\xtext-dnn,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:12:49,2026-05-21 20:12:58,8.92,Code\Step_3_Case_Languages\xtext-dnn\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_9.txt,78,3875
Code\Step_3_Case_Languages\xtext-dnn,1,Qwen/Qwen3-Coder-Next:novita,2026-05-21 20:13:17,2026-05-21 20:13:30,12.63,Code\Step_3_Case_Languages\xtext-dnn\results_with_adjusted_prompt\instance_2_extra_qwen3_coder_next_10.txt,218,7217
